fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2019-2020;136;1095;2019-2020_136_1095;account_registration;NA;1
2020-2021;136;1095;2020-2021_136_1095;account_registration;NA;1
2021-2022;136;1095;2021-2022_136_1095;account_registration;NA;1
2018-2019;128;1096;2018-2019_128_1096;account_registration;N;1
2018-2019;46;1097;2018-2019_46_1097;account_registration;Y;1
2019-2020;46;1097;2019-2020_46_1097;account_registration;Y;1
2020-2021;46;1097;2020-2021_46_1097;account_registration;Y;1
2021-2022;46;1097;2021-2022_46_1097;account_registration;Y;1
2018-2019;46;1098;2018-2019_46_1098;account_registration;Y;1
2019-2020;46;1098;2019-2020_46_1098;account_registration;Y;1
2020-2021;46;1098;2020-2021_46_1098;account_registration;Y;1
2021-2022;46;1098;2021-2022_46_1098;account_registration;Y;1
2018-2019;46;1099;2018-2019_46_1099;account_registration;Y;1
2019-2020;46;1099;2019-2020_46_1099;account_registration;Y;1
2020-2021;46;1099;2020-2021_46_1099;account_registration;Y;1
2021-2022;46;1099;2021-2022_46_1099;account_registration;Y;1
2022-2023;136;10;2022-2023_136_10;account_registration;N;1
2018-2019;136;10;2018-2019_136_10;account_registration;N;1
2019-2020;136;10;2019-2020_136_10;account_registration;N;1
2020-2021;136;10;2020-2021_136_10;account_registration;N;1
2021-2022;136;10;2021-2022_136_10;account_registration;N;1
2018-2019;46;1100;2018-2019_46_1100;account_registration;Y;1
2019-2020;46;1100;2019-2020_46_1100;account_registration;Y;1
2020-2021;46;1100;2020-2021_46_1100;account_registration;Y;1
2021-2022;46;1100;2021-2022_46_1100;account_registration;Y;1
2018-2019;46;1101;2018-2019_46_1101;account_registration;Y;1
2019-2020;46;1101;2019-2020_46_1101;account_registration;Y;1
2020-2021;46;1101;2020-2021_46_1101;account_registration;Y;1
2021-2022;46;1101;2021-2022_46_1101;account_registration;Y;1
2018-2019;46;1102;2018-2019_46_1102;account_registration;Y;1
2019-2020;46;1102;2019-2020_46_1102;account_registration;N;1
2020-2021;46;1102;2020-2021_46_1102;account_registration;N;1
2021-2022;46;1102;2021-2022_46_1102;account_registration;N;1
